Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,HEI,Course_Name,R1_Points21,R2_Points21
DL836,217.0,,219.0,,Information and Communication Technologies (ICTs),"Dun Laoghaire Institute of Art, Design and Technology",Creative Computing,235.0,
DL837,290.0,,201.0,,Humanities (except languages),"Dun Laoghaire Institute of Art, Design and Technology",New Media Studies,298.0,293.0
DL838,746.0,,754.0,,Arts,"Dun Laoghaire Institute of Art, Design and Technology",Creative Music Production,713.0,
GC200,269.0,,252.0,252.0,Business and administration,Griffith College,Business,269.0,242.0
GC201,251.0,,303.0,303.0,Business and administration,Griffith College,Accounting and Finance,260.0,226.0
GC230,228.0,,335.0,325.0,Information and Communication Technologies (ICTs),Griffith College,Computing Science,300.0,289.0
GC300,251.0,,429.0,,Business and administration,Griffith College,Business,264.0,264.0
GC301,307.0,,253.0,253.0,Business and administration,Griffith College,Accounting and Finance,251.0,
GC302,269.0,,,,Business and administration,Griffith College,Business - HRM,377.0,377.0
GC400,246.0,,248.0,248.0,Business and administration,Griffith College,Business,250.0,228.0
GC401,181.0,,240.0,227.0,Business and administration,Griffith College,Accounting and Finance,242.0,242.0
GC403,225.0,,244.0,228.0,Law,Griffith College,Law,245.0,242.0
GC407,246.0,,280.0,280.0,Business and administration,Griffith College,Business (Marketing),264.0,264.0
GC430,217.0,,252.0,220.0,Information and Communication Technologies (ICTs),Griffith College,Computing Science,251.0,251.0
GC450,227.0,,254.0,254.0,Journalism and information,Griffith College,Communications and Media Production,225.0,225.0
GC462,,,,,Arts,Griffith College,Design Communication (portfolio),300.0,
GC489,267.0,,254.0,,Arts,Griffith College,Interior Architecture (portfolio),288.0,274.0
GC494,,,337.0,217.0,Arts,Griffith College,Fashion Design (portfolio),351.0,
AD101,,550.0,,,Arts,National College of Art and Design,First Year Art and Design (Common Entry portfolio),554.0,
AD102,,635.0,,,Arts,National College of Art and Design,Graphic Design and Moving Image Design (portfolio),538.0,
AD103,,545.0,,,Arts,National College of Art and Design,Textile and Surface Design and Jewellery and Objec,505.0,
AD202,,580.0,,,Education,National College of Art and Design,Education and Design or Fine Art (Second Level Tea,591.0,
AD204,,600.0,,,Arts,National College of Art and Design,Fine Art (portfolio),514.0,
AD211,,600.0,,,Arts,National College of Art and Design,Fashion Design (portfolio),760.0,679.0
AD212,,600.0,,,Arts,National College of Art and Design,Product Design (portfolio),413.0,
AD215,300.0,338.0,377.0,320.0,Arts,National College of Art and Design,Visual Culture,337.0,300.0
AD217,,625.0,,,Arts,National College of Art and Design,Illustration (portfolio),738.0,
AD222,,657.0,,,Information and Communication Technologies (ICTs),National College of Art and Design,Interaction Design (portfolio),444.0,
NC003,261.0,316.0,260.0,,Information and Communication Technologies (ICTs),National College of Ireland (NCI),Computing (Degree Award options),271.0,
NC005,297.0,320.0,300.0,,Business and administration,National College of Ireland (NCI),Human Resource Management,301.0,
NC009,297.0,339.0,300.0,,Business and administration,National College of Ireland (NCI),Business,300.0,
NC010,366.0,399.0,400.0,,Social and behavioural sciences,National College of Ireland (NCI),Psychology,420.0,
NC020,270.0,307.0,280.0,,Business and administration,National College of Ireland (NCI),Marketing Practice,270.0,
NC022,338.0,376.0,337.0,,Business and administration,National College of Ireland (NCI),Accounting and Finance,330.0,
NC023,260.0,303.0,261.0,,Information and Communication Technologies (ICTs),National College of Ireland (NCI),Technology Management (with specialisations),266.0,
