Course_Code,Course Name_x,R1_Points19,R2_Points19,Course Name_y,R1_Points20,R2_Points20,Course Category,Course_Name,R1_Points21,R2_Points21
DB524,Business Information Systems,402.0,,Business (Information Systems),342.0,309.0,Information and Communication Technologies (ICTs),Business (Information Systems),247.0,239.0
DB526,Business Information Systems (Cloud Computing),253.0,,Business (Cloud Computing),347.0,,Information and Communication Technologies (ICTs),Business (Cloud Computing),244.0,244.0
DB527,Applied Social Care,235.0,,Applied Social Care,234.0,260.0,Social and behavioural sciences,Applied Social Care,254.0,219.0
DB531,Marketing,220.0,,Marketing,293.0,,Business and administration,Marketing,288.0,176.0
DB562,Psychology,208.0,,Psychology,243.0,229.0,Social and behavioural sciences,Psychology,244.0,233.0
DB566,Social Science,216.0,,Social Science,220.0,227.0,Social and behavioural sciences,Social Science,262.0,228.0
DB567,Film,192.0,,Film and Creative Media,218.0,202.0,Arts,Film and Creative Media,245.0,213.0
DB568,Law,245.0,,Law,219.0,252.0,Law,Law,254.0,228.0
DC001,Education - Early Childhood Education,398.0,,Education - Early Childhood Education,440.0,,Education,Education - Early Childhood Education,445.0,
DC002,Education - Primary Teaching,462.0,,Education - Primary Teaching,488.0,,Education,Education - Primary Teaching,518.0,
DC003,Education - Primary Teaching - Gaeltacht Applicants,433.0,,Education - Primary Teaching - Gaeltacht Applicants,445.0,,Education,Education - Primary Teaching - Gaeltacht Applicant,489.0,
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357.0,,Education - Primary Teaching (Church of Ireland Centre formerly CICE),411.0,409.0,Education,Education - Primary Teaching (Church of Ireland Ce,451.0,
DC009,Arts (Joint Honours) - Humanities,347.0,,Arts (Joint Honours) - Humanities,376.0,,Arts,Arts (Joint Honours) - Humanities,356.0,
DC010,Post Primary Teacher Education - Religious Education and English,386.0,,Post Primary Teacher Education - Religious Education and English,441.0,429.0,Education,Post Primary Teacher Education - Religious Educati,384.0,
DC011,Post Primary Teacher Education - Religious Education and History,352.0,,Post Primary Teacher Education - Religious Education and History,412.0,391.0,Education,Post Primary Teacher Education - Religious Educati,409.0,
DC012,Post Primary Teacher Education - Religious Education and Music,367.0,,Post Primary Teacher Education - Religious Education and Music,378.0,,Education,Post Primary Teacher Education - Religious Educati,409.0,
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410.0,,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419.0,,Education,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,
DC014,BA in Jazz and Contemporary Music Performance,428.0,,BA in Jazz and Contemporary Music Performance (audition),419.0,,Arts,BA in Jazz and Contemporary Music Performance (aud,311.0,
DC110,Business Studies International,440.0,,Business Studies International,465.0,,Languages,Business Studies International,498.0,
DC111,Business Studies,463.0,,Business Studies,488.0,,Business and administration,Business Studies,511.0,
DC112,Global Business (France),495.0,,Global Business (France),517.0,510.0,Business and administration,Global Business (France),542.0,
DC113,Global Business (Germany),440.0,,Global Business (Germany),462.0,,Business and administration,Global Business (Germany),484.0,
DC114,Global Business (Spain),501.0,,Global Business (Spain),522.0,,Business and administration,Global Business (Spain),544.0,
DC115,Accounting and Finance,487.0,,Accounting and Finance,510.0,,Business and administration,Accounting and Finance,544.0,
DC116,Global Business (USA),578.0,,Global Business (USA),579.0,,Business and administration,Global Business (USA),613.0,
DC117,Aviation Management / Aviation Management with Pilot Studies,463.0,,Aviation Management / Aviation Management with Pilot Studies,476.0,475.0,Engineering and engineering trades,Aviation Management / Aviation Management with Pil,484.0,
DC118,Gnó agus Gaeilge / Business and Irish,357.0,,Gnó agus Gaeilge / Business and Irish,359.0,,Business and administration,Gná agus Gaeilge / Business and Irish,368.0,
DC119,Global Business (Canada),566.0,,Global Business (Canada),564.0,,Business and administration,Global Business (Canada),601.0,
DC120,Enterprise Computing,350.0,,Enterprise Computing,357.0,,Information and Communication Technologies (ICTs),Computing for Business,403.0,402.0
DC121,Computer Applications,370.0,,Computer Applications,400.0,,Information and Communication Technologies (ICTs),Computer Science,475.0,
DC123,Data Science,467.0,,Data Science,465.0,,Information and Communication Technologies (ICTs),Data Science,501.0,
DC126,Actuarial Mathematics,520.0,,Actuarial Mathematics,560.0,,Mathematics and statistics,Actuarial Mathematics,577.0,
DC127,Common Entry into Actuarial and Financial Mathematics,509.0,,Common Entry into Actuarial and Financial Mathematics,532.0,520.0,Mathematics and statistics,Common Entry into Actuarial and Financial Mathemat,541.0,
DC131,Communication Studies,400.0,,Communication Studies,407.0,402.0,Humanities (except languages),Communication Studies,421.0,
DC132,Journalism,401.0,,Journalism,429.0,422.0,Journalism and information,Journalism,452.0,
DC133,Multimedia,403.0,,Multimedia,411.0,410.0,Arts,Multimedia,435.0,
