,Course_Code,Course_Name,R1_Points,R2_Points
317,NC022,Accounting and Finance,330,
318,NC023,Technology Management (with specialisations),266,
319,NC030,Early Childhood Education and Care,251,251
320,RC001,Medicine - Undergraduate Entry (HPAT required),741,740
321,RC004,Physiotherapy,589,589
322,RC005,Pharmacy,613,613
323,NM801,Montessori Education,262,
324,NM802,Psychology,228,
325,TU801,Sustainable Energy Engineering,235,
326,TU802,Electrical Services and Energy Management,309,
327,TU804,Engineering (Common Entry with Award options),270,
328,TU805,Engineering (General Entry),466,465
329,TU807,Computer Engineering in Mobile Systems,274,
330,TU810,Mechatronic Engineering,271,
331,TU811,Product Design,440,434
332,TU812,Design Technology and Innovation,278,
333,TU814,Sustainable Transport Management,253,253
334,TU828,Mechanical Engineering (General Entry),300,
335,TU829,Electronic Engineering (General Entry),248,248
336,TU831,Architectural Technology,423,
337,TU832,Architecture (Suitability Test and Interview),644,638
338,TU833,Construction Management,396,
339,TU834,Geographic Science,315,
340,TU835,Planning and Environmental Management,330,
341,TU836,Property Economics (Valuation Surveying),411,
342,TU837,Quantity Surveying and Construction Economics,413,
343,TU838,Sustainable Timber Technology,307,271
344,TU851,Analytical Chemistry (Environmental,Forensic and,400
345,TU852,Chemical Sciences with Medicinal Chemistry,477,
346,TU854,Science (General Entry),510,
347,TU855,Science with Nanotechnology,322,
348,TU856,Computer Science,499,
349,TU857,Computer Science (Infrastructure),403,
350,TU858,Computer Science (International),395,
351,TU859,Computing,251,
352,TU860,Computing (Information Technology),270,
353,TU861,Computing with Language (French/German/Spanish),235,235
354,TU862,Computing with Artificial Intelligence Machine Lea,262,
355,TU863,Digital Forensics and Cyber Security,282,
356,TU864,DNA and Forensic Analysis,500,441
357,TU865,Cloud Computing,235,
358,TU866,Biomedical and Molecular Diagnostics,522,
359,TU867,Biomedical Science,576,566
360,TU868,Clinical Measurement Science,542,
361,TU869,Environmental Health,387,
362,TU870,Human Nutrition and Dietetics,601,
363,TU871,Optometry,532,
364,TU872,Public Health Nutrition,487,
365,TU874,Mathematical Sciences,294,294
366,TU875,Pharmaceutical Healthcare,451,
367,TU876,Pharmaceutical Science,445,
368,TU877,Physics Technology,314,314
369,TU878,Physics with Energy and Environment,339,
370,TU879,Physics with Medical Physics and Bioengineering,346,
371,TU880,Physics with Data Science,412,
372,TU881,Food Innovation,309,
373,TU882,Nutraceuticals in Health and Nutrition,380,
374,TU902,Business (options),270,
375,TU903,Business and Management,477,
376,TU904,Business and Law,462,
377,TU905,Economics and Finance,460,
378,TU906,Human Resource Management,386,377
379,TU907,Logistics and Supply Chain Management,300,
380,TU910,Accounting,420,
381,TU912,Business Analytics,331,311
382,TU914,Business Computing,322,
383,TU917,Law (LLB ) with a Language,356,
