,Course_Code,Course_Name,R1_Points21,R2_Points21
246,DC194,Sustainable Systems and Energy,476.0,
247,DC195,Mechanical and Manufacturing Engineering,500.0,
248,DC197,Biomedical Engineering,510.0,
249,DC200,Common Entry into Engineering (Undenominated Entry,511.0,510.0
250,DC202,Sport Science and Health,511.0,
251,DC203,Science Education,462.0,
252,DC204,Athletic Therapy and Training,558.0,
253,DC205,Physical Education with Biology,565.0,
254,DC206,Physical Education with Mathematics,521.0,
255,DC207,Psychology and Mathematics,521.0,
256,DC208,Psychology,565.0,
257,DC209,Health and Society,477.0,
258,DC210,Psychology and Disruptive Technologies,506.0,
259,DC215,General Nursing,456.0,
260,DC216,Mental Health Nursing,420.0,
261,DC217,Intellectual Disability Nursing,382.0,
262,DC218,Children`s and General Nursing (Integrated),521.0,
263,DC230,Economics  Politics and Law,431.0,
264,DC231,International Relations,398.0,
265,DC232,Law and Society (BCL),469.0,
266,DC235,Education and Training - Daytime and Flexible Deli,302.0,
267,DC238,Social Sciences and Cultural Innovation,387.0,
268,DC240,Marketing  Innovation and Technology,499.0,
269,DC241,Digital Business and Innovation,509.0,
270,DC291,Arts (Joint Honours) - Media Studies,350.0,
271,DC292,Arts (Joint Honours) - Law,400.0,
272,DC293,Arts (Joint Honours) - International Languages,379.0,
273,DC294,Climate and Environmental Sustainability,475.0,
274,DC295,Arts (Joint Honours) - Politics,349.0,
275,DL822,Arts Management,254.0,
276,DL823,Business Management,220.0,
277,DL825,Applied Psychology,418.0,413.0
278,DL826,Graphic Design,591.0,
279,DL827,Art,574.0,
280,DL832,Animation,989.0,
281,DL833,Photography and Visual Media,671.0,671.0
282,DL836,Creative Computing,235.0,
283,DL837,New Media Studies,298.0,293.0
284,DL838,Creative Music Production,713.0,
285,DL839,Interaction and User Experience Design,757.0,
286,DL840,Digital Marketing,210.0,
287,DL841,English and Equality Studies,277.0,277.0
288,DL843,Film,987.0,874.0
289,DL844,Television,566.0,
290,DL845,Design for Film (degree options),628.0,
291,GC200,Business,269.0,242.0
292,GC201,Accounting and Finance,260.0,226.0
293,GC230,Computing Science,300.0,289.0
294,GC300,Business,264.0,264.0
295,GC301,Accounting and Finance,,251.0
296,GC302,Business - HRM,377.0,377.0
297,GC307,Business (Marketing),289.0,270.0
298,GC400,Business,250.0,228.0
299,GC401,Accounting and Finance,242.0,242.0
300,GC402,Business (HRM),,
301,GC403,Law,245.0,242.0
302,GC407,Business (Marketing),264.0,264.0
303,GC430,Computing Science,251.0,251.0
304,GC450,Communications and Media Production,225.0,225.0
305,GC462,Design Communication (portfolio),300.0,
306,GC489,Interior Architecture (portfolio),288.0,274.0
307,GC494,Fashion Design (portfolio),351.0,
308,BY001,Business,210.0,210.0
309,ID001,Accounting and Finance,,
310,ID002,Business Studies,,
311,AD101,First Year Art and Design (Common Entry portfolio),554.0,
312,AD102,Graphic Design and Moving Image Design (portfolio),538.0,
313,AD103,Textile and Surface Design and Jewellery and Objec,505.0,
314,AD202,Education and Design or Fine Art (Second Level Tea,591.0,
315,AD204,Fine Art (portfolio),514.0,
316,AD211,Fashion Design (portfolio),760.0,679.0
317,AD212,Product Design (portfolio),413.0,
318,AD215,Visual Culture,337.0,300.0
319,AD217,Illustration (portfolio),738.0,
320,AD222,Interaction Design (portfolio),444.0,
321,NC003,Computing (Degree Award options),271.0,
